category_name,total_products,avg_price,avg_stars,total_reviews,total_bought_last_month,avg_popularity_score,best_seller_count
Science Education Supplies,3652,106.99904435925521,3.236911281489595,0.0,13550.0,0.009186746987951806,10
Computer Monitors,3584,219.81141183035714,2.9676339285714284,1218582.0,600.0,11.12974898682842,3
Reptiles & Amphibian Supplies,3583,24.97485905665643,3.5286352218811055,4017.0,85000.0,0.12033612582813719,6
"Xbox One Games, Consoles & Accessories",3582,29.99471245114461,3.8850921273031824,0.0,35900.0,0.01058068118369626,1
Learning & Education Toys,3575,24.849110489510487,4.3451748251748255,0.0,471150.0,0.13850349650349653,12
Outdoor Recreation,3550,28.855822535211267,4.456028169014084,0.0,1673700.0,0.5559718309859155,150
Cell Phones & Accessories,3444,25.100865272938446,4.29274099883856,0.0,42950.0,0.04092624854819976,49
Luggage,3267,114.28253137434956,3.5410774410774413,1286848.0,113600.0,13.255108859068024,3
Baby Girls' Clothing & Shoes,3266,17.917685241886097,3.3722596448254745,0.0,88900.0,0.04926515615431721,36
Baby Travel Gear,3007,49.22073162620552,3.871799135350848,0.0,191150.0,0.0688892583970735,8
Beauty & Personal Care,2876,19.816571627260082,3.9699930458970796,0.0,205300.0,0.07138386648122393,0
Child Safety Car Seats & Accessories,2845,37.72934973637961,3.8292794376098414,1971792.0,372950.0,16.881486758826178,15
Home Use Medical Supplies & Equipment,2734,28.779970738844185,4.371580102414045,0.0,1443550.0,0.5865215801024141,80
"PlayStation 3 Games, Consoles & Accessories",2700,65.72535555555555,3.6263703703703705,0.0,2100.0,0.0007777777777777778,0
Sports & Outdoors,2654,29.03771665410701,4.499773926149208,0.0,2969650.0,1.3141107761868878,259
Toy Vehicle Playsets,2634,30.08481397114654,4.051176917236142,0.0,50200.0,0.0190584662110858,0
Baby Diapering Products,2521,23.28658072193574,3.7397064656882186,0.0,688750.0,0.2803451011503372,9
Tablet Replacement Parts,2521,41.24574375247918,2.3023006743355814,74.0,0.0,0.029982106389478774,2
Computer External Components,2507,163.54831671320304,2.6178699641005188,2027.0,100.0,0.05023556152868636,0
